iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
SLE,SIERRA LEONE,7.09,-7.86481034755706,-11.6174087524414,-16.3126856088638,-14.7780902385711,35.0,2.57065101070381,28.8466044614564,860.371067916096,6.757363770510318
MLI,MALI,7.06,-12.0649870038033,-13.8716567754745,-16.4204367399216,-8.87770485877991,28.0,4.10663919520599,43.5009858331426,976.914116406452,6.884398742760709
SUR,SURINAME,7.06,-5.67091584205627,-1.79153580963612,-13.2206409573555,-11.0582203865051,40.0,10.5301491332371,69.1155037619615,6084.43876736445,8.71348976901752
AGO,ANGOLA,7.03,-8.50021916627884,-14.3075821399689,-14.4652451276779,-8.49378001689911,33.0,7.5835940491885,69.1155037619615,3682.1131513698,8.21124209227407
SWZ,ESWATINI,6.97,-9.76630079746247,-8.7341188788414,-10.272672533989,-10.0659104585648,30.0,6.11650411207474,66.175800988905,3894.1620089869,8.267233789839906
VNM,VIETNAM,6.96,-4.02175906300545,-2.21839001774788,2.45088240504265,-6.01938843727112,41.0,3.0117049025241,56.2657536272923,4147.69777213621,8.330308705589859
KEN,KENYA,6.95,-10.634434401989,-4.47958433628082,-4.41071864962578,-5.33161944150924,31.0,4.50609721979159,79.1951576168317,2109.56288513137,7.654236041563953
TGO,TOGO,6.95,-9.01109826564789,-7.76435077190399,-9.01748484373093,-7.8801519870758,31.0,4.93154934222167,49.6056349278117,951.232378690387,6.857758384631531
CIV,COTE D'IVOIRE,6.87,-4.8111124932766,-6.67560881376266,-4.73724752664566,-2.12818142771721,40.0,4.19885052219563,50.7622911401206,2333.37128301259,7.755069403385334
SLB,SOLOMON ISLANDS,6.86,-2.58338116109371,-3.37894895672798,-9.48029500246048,-10.729406952858,43.0,3.85475291033845,69.1155037619615,1877.78104490956,7.537846063466097
UGA,UGANDA,6.83,-14.7209510803223,-5.30097809433937,-8.32326501607895,-6.86475074291229,26.0,2.33800983849871,65.914011087313,963.067314117178,6.8701233097884105
KHM,CAMBODIA,6.78,-17.3817713260651,-12.1272589564323,-4.92153412103653,-9.93721425533295,22.0,12.5568900142339,33.3949915672468,2325.03050040841,7.75148843639064
CHN,CHINA,6.77,0.224237442016602,-0.585341934114694,6.92471185326577,-5.85784685611724,42.0,8.79796680446132,88.7090216844445,12970.6056414327,9.47044097178179
